element_id,name,kind,axial_N,stress_MPa
1,VR1,vertical,8044.1,117.72
2,D1,diagonal,-2454.6,-49.609
3,VL1,vertical,-6852.0,-100.28
4,VR2,vertical,6852.0,100.28
5,D2,diagonal,-2454.6,-49.609
6,VL2,vertical,-5659.9,-82.833
7,VR3,vertical,5659.9,82.833
8,D3,diagonal,-2454.6,-49.609
9,VL3,vertical,-4467.8,-65.387
10,VR4,vertical,4467.8,65.387
11,D4,diagonal,-2454.6,-49.609
12,VL4,vertical,-3275.8,-47.941
13,VR5,vertical,3275.8,47.941
14,D5,diagonal,-2454.6,-49.609
15,VL5,vertical,-2083.7,-30.495
16,VR6,vertical,2083.7,30.495
17,D6,diagonal,-2454.6,-49.609
18,VL6,vertical,-891.61,-13.049
19,VR7,vertical,891.61,13.049
20,D7,diagonal,-1835.9,-37.105
21,H0,horizontal,0.0,0.0
22,H1,horizontal,2145.7,43.366
23,H2,horizontal,2145.7,43.366
24,H3,horizontal,2145.7,43.366
25,H4,horizontal,2145.7,43.366
26,H5,horizontal,2145.7,43.366
27,H6,horizontal,1604.9,32.435
