element,kind,node_i,node_j,global_dofs,coordinate_i_m,coordinate_j_m
VR1,vertical,R0,R1,2 3 6 7,"(0.450000, 0.000000)","(0.450000, 0.250000)"
D1,diagonal,L0,R1,0 1 6 7,"(0.000000, 0.000000)","(0.450000, 0.250000)"
VL1,vertical,L0,L1,0 1 4 5,"(0.000000, 0.000000)","(0.000000, 0.250000)"
VR2,vertical,R1,R2,6 7 10 11,"(0.450000, 0.250000)","(0.450000, 0.500000)"
D2,diagonal,L1,R2,4 5 10 11,"(0.000000, 0.250000)","(0.450000, 0.500000)"
VL2,vertical,L1,L2,4 5 8 9,"(0.000000, 0.250000)","(0.000000, 0.500000)"
VR3,vertical,R2,R3,10 11 14 15,"(0.450000, 0.500000)","(0.450000, 0.750000)"
D3,diagonal,L2,R3,8 9 14 15,"(0.000000, 0.500000)","(0.450000, 0.750000)"
VL3,vertical,L2,L3,8 9 12 13,"(0.000000, 0.500000)","(0.000000, 0.750000)"
VR4,vertical,R3,R4,14 15 18 19,"(0.450000, 0.750000)","(0.450000, 1.000000)"
D4,diagonal,L3,R4,12 13 18 19,"(0.000000, 0.750000)","(0.450000, 1.000000)"
VL4,vertical,L3,L4,12 13 16 17,"(0.000000, 0.750000)","(0.000000, 1.000000)"
VR5,vertical,R4,R5,18 19 22 23,"(0.450000, 1.000000)","(0.450000, 1.250000)"
D5,diagonal,L4,R5,16 17 22 23,"(0.000000, 1.000000)","(0.450000, 1.250000)"
VL5,vertical,L4,L5,16 17 20 21,"(0.000000, 1.000000)","(0.000000, 1.250000)"
VR6,vertical,R5,R6,22 23 26 27,"(0.450000, 1.250000)","(0.450000, 1.500000)"
D6,diagonal,L5,R6,20 21 26 27,"(0.000000, 1.250000)","(0.450000, 1.500000)"
VL6,vertical,L5,L6,20 21 24 25,"(0.000000, 1.250000)","(0.000000, 1.500000)"
VR7,vertical,R6,R7,26 27 28 29,"(0.450000, 1.500000)","(0.450000, 1.750000)"
D7,diagonal,L6,R7,24 25 28 29,"(0.000000, 1.500000)","(0.450000, 1.750000)"
H0,horizontal,L0,R0,0 1 2 3,"(0.000000, 0.000000)","(0.450000, 0.000000)"
H1,horizontal,L1,R1,4 5 6 7,"(0.000000, 0.250000)","(0.450000, 0.250000)"
H2,horizontal,L2,R2,8 9 10 11,"(0.000000, 0.500000)","(0.450000, 0.500000)"
H3,horizontal,L3,R3,12 13 14 15,"(0.000000, 0.750000)","(0.450000, 0.750000)"
H4,horizontal,L4,R4,16 17 18 19,"(0.000000, 1.000000)","(0.450000, 1.000000)"
H5,horizontal,L5,R5,20 21 22 23,"(0.000000, 1.250000)","(0.450000, 1.250000)"
H6,horizontal,L6,R6,24 25 26 27,"(0.000000, 1.500000)","(0.450000, 1.500000)"
